Designator,X,Y,Angle
U1,174.625,116.5,-15.0
U68,122.175,91.475,120.0
U8,179.8,103.175,-160.0
U72,137.45,89.725,-170.0
U55,128.675,61.5,-113.0
U45,113.3,99.2,-112.0
U26,126.575,104.725,98.0
U65,130.4,84.0,35.0
U46,114.85,95.4,-112.0
U81,171.8,84.775,-162.0
U73,141.45,89.325,180.0
U42,108.625,110.825,-112.0
U91,191.1,103.7,55.0
U63,132.05,76.3,87.0
U12,176.275,93.775,-5.0
U15,164.275,93.925,6.0
U75,149.35,90.475,170.0
U3,167.625,112.725,-41.0
U60,135.425,64.775,67.0
U51,122.575,76.4,-112.0
U41,107.15,114.675,-110.0
U30,129.3,120.525,100.0
U27,127.2,108.675,99.0
U85,187.675,84.85,175.0
U7,176.05,104.35,-168.0
U11,180.25,94.3,-11.0
U89,195.325,96.825,70.0
U50,121.05,80.125,-112.0
U22,137.6,101.875,27.0
U37,111.2,129.175,-36.0
U69,125.9,92.95,-167.0
U9,183.05,100.825,-123.0
U48,117.95,87.775,-112.0
U86,191.45,86.15,149.0
U40,106.3,118.7,-94.0
U77,157.25,91.325,180.0
U24,131.3,100.45,-35.0
U25,127.325,100.825,42.0
U53,125.625,68.9,-112.0
U44,111.75,103.05,-112.0
U76,153.275,91.15,175.0
U35,118.8,131.55,-4.0
U47,116.4,91.575,-112.0
U70,129.7,91.825,-163.0
U84,183.725,84.525,177.0
U5,168.325,106.3,-150.0
U20,144.9,98.625,19.0
U39,106.75,122.725,-74.0
U31,129.975,124.475,99.0
U21,141.2,100.15,23.0
U58,136.85,56.95,120.0
U94,185.375,114.275,63.0
U16,160.325,94.425,8.0
U78,161.125,90.275,-158.0
U29,128.6,116.575,99.0
U64,132.0,80.3,90.0
U87,194.275,89.0,123.0
U49,119.462775,83.949029,-112.0
U28,127.9,112.625,100.0
U23,133.925,103.45,-10.0
U88,195.7,92.8,95.0
U62,132.675,72.35,75.0
U96,178.55,117.225,-6.0
U59,136.975,61.0,68.0
U34,122.8,131.575,2.0
U67,123.1,87.5,30.0
U83,179.75,84.3,178.0
U19,148.675,97.3,18.0
U10,183.425,96.825,-68.0
U56,130.2,57.8,-113.0
U13,172.3,93.55,0.0
U32,129.775,128.45,68.0
U57,133.2,55.2,-170.0
U90,193.375,100.4,57.0
U74,145.425,89.725,170.0
U95,182.55,117.125,10.0
U66,126.775,85.775,20.0
U52,124.1,72.65,-112.0
U71,133.55,90.625,-165.0
U14,168.3,93.6,3.0
U61,133.925,68.5,70.0
U92,188.975,107.125,63.0
U17,156.375,95.15,12.0
U82,175.775,84.225,180.0
U79,164.675,88.425,-149.0
U18,152.475,96.125,16.0
U54,127.14,65.19,-112.0
U36,114.825,130.95,-16.0
U2,170.9,115.0,-28.0
U4,165.6,109.25,-105.0
U38,108.425,126.35,-55.0
U80,168.1,86.325,-150.0
U93,187.175,110.7,63.0
U43,110.2,106.9,-112.0
U6,172.125,105.15,-170.0
U33,126.75,131.1,15.0
